20:27:07    §dRNG Meter §f- §d494,225 Stored XP
20:28:49    §dRNG Meter §f- §d139,625 Stored XP
20:29:32    §dRNG Meter §f- §d140,125 Stored XP
20:30:22    §dRNG Meter §f- §d140,625 Stored XP
20:31:06    §dRNG Meter §f- §d141,125 Stored XP
20:31:58    §dRNG Meter §f- §d141,625 Stored XP
20:32:31    §dRNG Meter §f- §d142,125 Stored XP
20:33:47    §dRNG Meter §f- §d142,625 Stored XP
20:34:54    §dRNG Meter §f- §d143,125 Stored XP
20:35:48    §dRNG Meter §f- §d143,625 Stored XP
20:36:27    §dRNG Meter §f- §d144,125 Stored XP
20:37:55    §dRNG Meter §f- §d144,625 Stored XP
20:38:38    §dRNG Meter §f- §d145,125 Stored XP
20:39:14    §dRNG Meter §f- §d145,625 Stored XP
20:40:03    §dRNG Meter §f- §d146,125 Stored XP
20:40:43    §dRNG Meter §f- §d146,625 Stored XP
20:41:54    §dRNG Meter §f- §d147,125 Stored XP
20:42:21    §dRNG Meter §f- §d147,625 Stored XP
20:43:15    §dRNG Meter §f- §d148,125 Stored XP
20:43:54    §dRNG Meter §f- §d148,625 Stored XP
20:44:37    §dRNG Meter §f- §d149,125 Stored XP
20:45:14    §dRNG Meter §f- §d149,625 Stored XP
20:45:58    §dRNG Meter §f- §d150,125 Stored XP
20:46:33    §dRNG Meter §f- §d150,625 Stored XP
20:47:14    §dRNG Meter §f- §d151,125 Stored XP
20:59:51    §dRNG Meter §f- §d1,000 Stored XP
21:01:21    §dRNG Meter §f- §d1,500 Stored XP
21:02:52    §dRNG Meter §f- §d2,000 Stored XP
21:03:20    §dRNG Meter §f- §d2,500 Stored XP
21:04:40    §dRNG Meter §f- §d3,000 Stored XP
