00:26:10 Reset everything (world change)
00:26:19 Reset everything (world change)
00:26:19 Reset everything (world change)
00:26:19 Reset everything (world change)
00:26:20 Reset everything (world change)
00:26:20 Reset everything (world change)
00:28:00 Reset everything (world change)
00:28:00 Reset everything (world change)
00:28:00 Reset everything (world change)
00:38:29 Reset everything (world change)
01:02:16 Reset everything (world change)
01:02:17 Reset everything (world change)
01:02:17 Reset everything (world change)
01:03:16 Reset everything (world change)
01:03:16 Reset everything (world change)
01:03:17 Reset everything (world change)
01:03:17 Reset everything (world change)
01:03:17 Reset everything (world change)
01:03:42 Reset everything (world change)
01:03:42 Reset everything (world change)
01:03:42 Reset everything (world change)
01:04:07 Added Nukekubi skulls at LorenzVec(x=-578.15625, y=56.5, z=-354.9375)
01:04:29 Added Nukekubi skulls at LorenzVec(x=-571.28125, y=42.34375, z=-302.78125)
01:04:32 Added Nukekubi skulls at LorenzVec(x=-567.75, y=42.03125, z=-307.34375)
01:04:39 Added Nukekubi skulls at LorenzVec(x=-567.75, y=42.03125, z=-307.3125)
01:09:02 Added enderman with beacon at LorenzVec(x=-564.4404578189301, y=51.0, z=-234.09336419753086)
01:10:23 Added Nukekubi skulls at LorenzVec(x=-586.0, y=55.9375, z=-209.71875)
01:10:24 Added enderman with beacon at LorenzVec(x=-586.34375, y=55.0, z=-209.375)
01:12:14 Added Nukekubi skulls at LorenzVec(x=-570.90625, y=51.9375, z=-232.875)
01:12:22 Added Nukekubi skulls at LorenzVec(x=-563.0, y=51.75, z=-236.875)
01:12:26 Added Nukekubi skulls at LorenzVec(x=-568.59375, y=51.9375, z=-236.875)
01:12:33 Added Nukekubi skulls at LorenzVec(x=-569.46875, y=51.9375, z=-233.65625)
01:12:34 Added enderman with beacon at LorenzVec(x=-568.46875, y=51.0, z=-232.25)
01:15:22 Added Nukekubi skulls at LorenzVec(x=-571.03125, y=51.9375, z=-239.5)
01:15:27 Added enderman with beacon at LorenzVec(x=-592.4664351851852, y=54.90625, z=-212.24421296296296)
01:15:28 Added Nukekubi skulls at LorenzVec(x=-584.15625, y=51.9375, z=-235.0625)
01:15:29 Added flying beacons at LorenzVec(x=-592.46875, y=55.625, z=-211.13541666666666)
01:15:30 Replaced flying beacon with sitting beacon at LorenzVec(x=-595.0, y=55.0, z=-204.0)
01:15:31 Removed sitting beacon LorenzVec(x=-595.0, y=55.0, z=-204.0)
01:15:34 Added Nukekubi skulls at LorenzVec(x=-576.25, y=52.28125, z=-239.3125)
01:15:35 Added enderman with beacon at LorenzVec(x=-593.625, y=55.09375, z=-213.03125)
01:15:37 Added flying beacons at LorenzVec(x=-593.75, y=54.5, z=-212.03125)
01:15:40 Added Nukekubi skulls at LorenzVec(x=-576.25, y=52.28125, z=-239.28125)
01:15:43 Added enderman with beacon at LorenzVec(x=-592.3229166666666, y=54.90625, z=-215.18402777777777)
01:15:46 Added flying beacons at LorenzVec(x=-588.6909722222222, y=55.263888888888886, z=-213.10416666666666)
01:15:46 Added Nukekubi skulls at LorenzVec(x=-575.09375, y=51.9375, z=-236.78125)
01:15:46 Replaced flying beacon with sitting beacon at LorenzVec(x=-579.0, y=54.0, z=-211.0)
01:15:46 Added flying beacons at LorenzVec(x=-580.03125, y=53.875, z=-210.90625)
01:15:47 Removed sitting beacon LorenzVec(x=-579.0, y=54.0, z=-211.0)
01:15:56 Added Nukekubi skulls at LorenzVec(x=-592.0, y=56.34375, z=-210.34375)
01:15:58 Added enderman with beacon at LorenzVec(x=-591.1516203703704, y=54.90625, z=-211.77430555555554)
01:16:03 Added Nukekubi skulls at LorenzVec(x=-595.5625, y=56.03125, z=-216.5)
01:16:06 Added enderman with beacon at LorenzVec(x=-595.5625, y=55.09375, z=-216.46875)
01:16:08 Added flying beacons at LorenzVec(x=-594.625, y=54.5, z=-216.78125)
01:16:09 Added Nukekubi skulls at LorenzVec(x=-595.5625, y=56.03125, z=-216.46875)
01:16:09 Replaced flying beacon with sitting beacon at LorenzVec(x=-600.0, y=55.0, z=-207.0)
01:16:10 Removed sitting beacon LorenzVec(x=-600.0, y=55.0, z=-207.0)
01:16:14 Added enderman with beacon at LorenzVec(x=-590.2731481481482, y=54.92399691358025, z=-212.04128086419752)
01:16:15 Added Nukekubi skulls at LorenzVec(x=-592.375, y=55.9375, z=-213.90625)
01:17:52 Added Nukekubi skulls at LorenzVec(x=-606.0277777777777, y=10.70486111111111, z=-335.86805555555554)
01:18:11 Added enderman with beacon at LorenzVec(x=-585.3125, y=54.0, z=-216.25)
01:18:34 Added Nukekubi skulls at LorenzVec(x=-590.9375, y=55.9375, z=-210.3125)
01:18:40 Added Nukekubi skulls at LorenzVec(x=-589.2847222222223, y=56.04976851851852, z=-212.82754629629628)
01:18:46 Added Nukekubi skulls at LorenzVec(x=-589.75, y=56.03125, z=-211.34375)
01:18:52 Added Nukekubi skulls at LorenzVec(x=-587.53125, y=55.9375, z=-207.0625)
01:18:58 Added Nukekubi skulls at LorenzVec(x=-583.8958333333334, y=54.927083333333336, z=-213.34375)
01:21:32 Added enderman with beacon at LorenzVec(x=-585.1527777777777, y=53.80902777777778, z=-217.22916666666666)
01:21:35 Added flying beacons at LorenzVec(x=-586.875, y=54.125, z=-213.46875)
01:21:35 Replaced flying beacon with sitting beacon at LorenzVec(x=-594.0, y=55.0, z=-210.0)
01:21:37 Removed sitting beacon LorenzVec(x=-594.0, y=55.0, z=-210.0)
01:21:41 Added enderman with beacon at LorenzVec(x=-586.90625, y=55.09375, z=-213.28125)
01:21:43 Added flying beacons at LorenzVec(x=-587.78125, y=54.5, z=-212.8125)
01:21:43 Replaced flying beacon with sitting beacon at LorenzVec(x=-579.0, y=54.0, z=-212.0)
01:21:45 Removed sitting beacon LorenzVec(x=-579.0, y=54.0, z=-212.0)
01:21:49 Added enderman with beacon at LorenzVec(x=-586.9375, y=55.40625, z=-206.71875)
01:22:01 Added Nukekubi skulls at LorenzVec(x=-592.75, y=55.9375, z=-213.40625)
01:22:05 Added flying beacons at LorenzVec(x=-586.53125, y=55.46875, z=-209.19791666666666)
01:22:06 Replaced flying beacon with sitting beacon at LorenzVec(x=-586.0, y=54.0, z=-217.0)
